t/_id,t/__text,h/_id,h/__text,_task,_id,_topic,_complex-attack,_argument,_entailment
6,Youth playing violent games exhibit more aggression.,16,"F.B.I. data shows that youth violence continues to decline. It is now at its lowest rate in years. Violent video games, therefore, can hardly be seen as a major problem since they've been around for years.",ARG,1,Violentgames,extended,attack,contradiction
6,Youth playing violent games exhibit more aggression.,11,"Games help develop youths' minds, skills, confidence. Such games (in moderation) may actually have some positive effects on developing minds.",ARG,2,Violentgames,extended,attack,
8,People know video game violence is fake.,12,Violent video games are real danger to young minds.,ARG,3,Violentgames,extended,attack,
5,"Condoms/sex-ed better population control than ""one child"". Countries that simply improved access to contraceptives, Thailand and Indonesia for instance, did as much to reduce fertility as China, with its draconian policies.",4,"China would have far too many children if not for ""one child"". China estimates that it has three to four hundred million fewer people today with the one child policy than it would have had otherwise.",ARG,4,Chinaonechildpolicy,extended,attack,contradiction
2,"In 1992 the World Health Organization's Expert Committee on Drug Dependence (ECDD) undertook a 'prereview' of coca leaf at its 28th meeting. The 28th ECDD report concluded that, ""the coca leaf is appropriately scheduled as a narcotic under the Single Convention on Narcotic Drugs, 1961, since cocaine is readily extractable from the leaf."" This ease of extraction makes coca and cocaine inextricably linked. Therefore, because cocaine is defined as a narcotic, coca must also be defined in this way.",4,Coca is not cocaine. Coca is distinct from cocaine. Coca is a natural leaf with very mild effects when chewed. Cocaine is a highly processed and concentrated drug using derivatives from coca.,ARG,5,Cocanarcotic,extended,attack,
1,Coca can be classified as a narcotic.,4,Coca is not cocaine. Coca is distinct from cocaine. Coca is a natural leaf with very mild effects when chewed. Cocaine is a highly processed and concentrated drug using derivatives from coca.,ARG,6,Cocanarcotic,extended,unrelated,
3,"Coca in its natural state is not a narcotic. What is absurd about the 1961 convention is that it considers the coca leaf in its natural, unaltered state to be a narcotic. The paste or the concentrate that is extracted from the coca leaf, commonly known as cocaine, is indeed a narcotic, but the plant itself is not.",1,Coca can be classified as a narcotic.,ARG,7,Cocanarcotic,extended,attack,contradiction
7,Coca has no negative health effects.,11,"Coca chewing is bad for human health. The decision to ban coca chewing fifty years ago was based on a 1950 report elaborated by the UN Commission of Inquiry on the Coca Leaf with a mandate from ECOSOC: ""We believe that the daily, inveterate use of coca leaves by chewing is thoroughly noxious and therefore detrimental"".",ARG,8,Cocanarcotic,extended,attack,contradiction
12,"Coca chewing can help relieve hunger, fight obesity. Because coca helps suppress one's appetite, it is also a means of combating overeating and obesity.",11,"Coca chewing is bad for human health. The decision to ban coca chewing fifty years ago was based on a 1950 report elaborated by the UN Commission of Inquiry on the Coca Leaf with a mandate from ECOSOC: ""We believe that the daily, inveterate use of coca leaves by chewing is thoroughly noxious and therefore detrimental"".",ARG,9,Cocanarcotic,extended,attack,contradiction
4,"Claiming, let alone believing, an arena where very young children are primped like mini-adults and pitted against each other in a bid to decide who's the prettiest is good for confidence or self-esteem, is to dwell in a fool's paradise.",3,"Beauty contests can boost a child's self-esteem. The most cited reason parents give for putting their children into beauty pageants is to boost their child’s self-esteem, as well as teach poise, public speaking skills, tact, and confidence.",ARG,10,Childbeautycontests,extended,attack,contradiction
1,Child beauty contests teach good life lessons.,4,"Claiming, let alone believing, an arena where very young children are primped like mini-adults and pitted against each other in a bid to decide who's the prettiest is good for confidence or self-esteem, is to dwell in a fool's paradise.",ARG,11,Childbeautycontests,extended,attack,
5,"Beauty pageants foster destructive perfectionism, self-criticism. William Pinsof, a clinical psychologist and president of the Family Institute at Northwestern University: ""Being a little Barbie doll says your body has to be a certain way and your hair has to be a certain way. In girls particularly, this can unleash a whole complex of destructive self-experiences that can lead to eating disorders and all kinds of body distortions in terms of body image"".",6,"Child beauty pageants judge whole person. Some of the criteria considered in judging a pageant are writing skills, interviews, personality, looks, confidence and talent, depending on the specific competition.",ARG,12,Childbeautycontests,extended,attack,
5,"West should protect Libyan civilians, not arm rebels. NATO Secretary-General Anders Fogh Rasmussen says the coalition under his control is clear about its mission. ""We are not in Libya to arm people. We are in Libya to protect civilians against attacks"".",1,Arming Libyan rebels has a military impact on the rebels' combat abilities and in ousting Gaddafi from power.,ARG,13,Arminglibianrebels,extended,attack,contradiction
5,"Random alcohol breath tests reduce accidents, save lives. The Centers for Disease Control, in a 2002 Traffic Injury Prevention report, found that in general, the number of alcohol related crashes was reduced by 20% in states that implement sobriety checkpoints compared to those that do not.",3,Random breath testing doesn't necessarily lower drunk driving. Many countries have had random testing for some time and have seen no real fall in drink driving figures.,ARG,14,Sobrietytest,extended,attack,contradiction
3,Random breath testing doesn't necessarily lower drunk driving. Many countries have had random testing for some time and have seen no real fall in drink driving figures.,2,"Random breath tests help deter drunk driving. A 1995 review by the European Transport Safety Council concluded, ""There is wide agreement in the international scientific literature that increasing driver's perception of the risk of being detected for excess alcohol is a very important element in any package of measures to reduce alcohol related crashes"".",ARG,15,Sobrietytest,extended,attack,contradiction
7,Releasing Bin Laden photos is a national security risk.,10,Bin Laden death photos send warning to US enemies.,ARG,16,Osamaphoto,extended,unrelated,
8,"Osama photos likely to provoke violence at US embassies. Secretary of State Hilary Clinton and Secretary of Defense Robert Gates vocally worried that the images would provoke anti-American violence at embassies, consulates, and military bases overseas.",10,Bin Laden death photos send warning to US enemies.,ARG,17,Osamaphoto,extended,unrelated,
5,Death photos destroy myth of Bin Laden's invulnerability.,17,"Photos of dead bodies offends many Muslims. Some may view an image of a dead body as a violation of the sect's customs. ""Historically speaking, they don’t like photos being taken,"" said Shaheen Ayubi, an international politics professor at Rutgers-Camden.",ARG,18,Osamaphoto,extended,attack,
4,"Internet not as important as real rights. We may think of such trivial things as a fundamental right, but consider the truly impoverished and what is most important to them. The right to vote, the right to liberty and freedom from slavery or the right to elementary education. Perhaps it's time for a reality check, and to re-examine which of our 'rights' are truly important.",1,Internet access is fundamental in modernity.,ARG,19,Internetaccess,extended,attack,contradiction
7,"Internet access is not really essential. It is much easier than people think to live without the Internet. People were able to lead happy succesful lives in the past without the Internet, and they are able to do so now as well. While there are certainly luxuries surrounding the use of the Internet, it is excessive to deem it as essential to human life and happiness. It is excessive there to deem it as a fundamental human right on these grounds.",2,"Internet access is essential now; must be a right. The internet is only that wire that delivers freedom of speech, freedom of assembly, and freedom of the press in a single connection.",ARG,20,Internetaccess,extended,attack,contradiction
10,No justification for mandatory service where no threat exists.,1,National conscription is important to national security.,ARG,21,Militaryservice,extended,attack,contradiction
10,No justification for mandatory service where no threat exists.,11,"Conscription during peacetime would mean that the country was prepared for emergencies when they happened, rather than having to prepare after the fact.",ARG,22,Militaryservice,extended,attack,contradiction
4,"Racial airport security profiling is also unworkable. Once aware of national profiling, terrorists will simply use people from ""non-profiled"" countries or origins, like FBI most-wanted Qaeda suspect Adam Gadahn, an American.",2,"Terrorists are most often Muslims; worth profiling them at the airport. We have to talk about the taboo topic of profiling because terrorism experts are increasingly recognizing that religious ideology makes terrorist organizations and terrorists more likely to commit heinous crimes against civilians, such as blowing an airliner out of the sky. Certainly, it's not an easy or comfortable conversation but it's one, I believe, we must have.",ARG,23,Securityprofiling,extended,attack,
4,"Racial airport security profiling is also unworkable. Once aware of national profiling, terrorists will simply use people from ""non-profiled"" countries or origins, like FBI most-wanted Qaeda suspect Adam Gadahn, an American.",7,"We have seen that certain types of people who fit a certain profile – young men of a particular ethnic background – have been engaged in terror activities, and targeting this sort of passenger would give people a greater sense of security. Profiling has to be backed by this type of statistical and intelligence-based evidence. There would be no point in stopping Muslim grandmothers.",ARG,24,Securityprofiling,extended,attack,
