t/0/_id,t/0/__text,h/_id,h/__text,_task,_id,_topic,_complex-attack,_argument,_entailment,t/1/_id,t/1/__text,_aargument
17,"A teen can try out different identities — how it feels to be a hero, a trickster, a feared or scorned killer, or someone of a different age or sex — in the safe fantasy world of a video game.",13,"Research studies have yielded the conclusion that the effect of violent media consumption on aggressive behavior is in the same ballpark statistically as the effect of smoking on lung cancer, the effect of lead exposure on children's intellectual development and the effect of asbestos on laryngeal cancer.",ARG,1,Violentgames,mediated,unrelated,,,,
12,Violent video games are real danger to young minds.,9,"Young people know it: as one 13-year-old said during a study I conducted at Harvard, ""With video games, you know it's fake.""",ARG,2,Violentgames,mediated,attack,,,,
12,Violent video games are real danger to young minds.,8,People know video game violence is fake.,ARG,3,Violentgames,mediated,unrelated,,,,
8,People know video game violence is fake.,7,"In experimental studies, children who view violent television shows or films — or who play violent video games — are significantly more likely to behave aggressively in comparison to children who view nonviolent television shows or films, or who play nonviolent video games. In long-term studies, individuals who consume violent media during childhood end up more aggressive as adults, in comparison with peers who consume nonviolent media during childhood.",ARG,4,Violentgames,mediated,attack,,,,
8,People know video game violence is fake.,5,"""A few years ago, on Long Island, six teenagers were arrested after a crime spree involving breakins, a violent mugging and a carjacking attempt. According to what the teens told authorities, they had been trying to live out the life of Niko Belic. Ever heard of him? He is the protagonist in the wildly popular video game 'Grand Theft Auto IV.' What the teens did represents one of the worst-case scenarios imagined by those who advocate for government to limit the sale of violent video games to minors.",ARG,5,Violentgames,mediated,attack,contradiction,,,
11,"Games help develop youths' minds, skills, confidence. Such games (in moderation) may actually have some positive effects on developing minds.",6,Youth playing violent games exhibit more aggression.,ARG,6,Violentgames,mediated,unrelated,,,,
11,"Games help develop youths' minds, skills, confidence. Such games (in moderation) may actually have some positive effects on developing minds.",4,Some youth have tried to emulate violence in games.,ARG,7,Violentgames,mediated,unrelated,,,,
11,"Games help develop youths' minds, skills, confidence. Such games (in moderation) may actually have some positive effects on developing minds.",,,ARG,8,Violentgames,mediated,attack,contradiction,15,"Justice Breyer: ""Unlike the majority. I would find sufficient grounds in these studies and expert opinions for this court to defer to an elected legislature's conclusion that violent video games are particularly likely to harm children.""",
14,Psychological studies purporting to show a connection between exposure to violent video games and harmful effects on children do not prove that such exposure causes minors to act aggressively. Any demonstrated effects are both small and indistinguishable from effects pro-duced by other media.,6,Youth playing violent games exhibit more aggression.,ARG,9,Violentgames,mediated,attack,contradiction,,,
14,Psychological studies purporting to show a connection between exposure to violent video games and harmful effects on children do not prove that such exposure causes minors to act aggressively. Any demonstrated effects are both small and indistinguishable from effects pro-duced by other media.,15,"Justice Breyer: ""Unlike the majority. I would find sufficient grounds in these studies and expert opinions for this court to defer to an elected legislature's conclusion that violent video games are particularly likely to harm children.""",ARG,10,Violentgames,mediated,attack,contradiction,,,
14,Psychological studies purporting to show a connection between exposure to violent video games and harmful effects on children do not prove that such exposure causes minors to act aggressively. Any demonstrated effects are both small and indistinguishable from effects pro-duced by other media.,4,Some youth have tried to emulate violence in games.,ARG,11,Violentgames,mediated,unrelated,,,,
2,Violent video games do not increase aggression.,6,Youth playing violent games exhibit more aggression.,ARG,12,Violentgames,mediated,attack,contradiction,,,
2,Violent video games do not increase aggression.,4,Some youth have tried to emulate violence in games.,ARG,13,Violentgames,mediated,unrelated,,,,
2,Violent video games do not increase aggression.,,,ARG,14,Violentgames,mediated,attack,,15,"Justice Breyer: ""Unlike the majority. I would find sufficient grounds in these studies and expert opinions for this court to defer to an elected legislature's conclusion that violent video games are particularly likely to harm children.""",
6,Youth playing violent games exhibit more aggression.,3,"A 2005 University of Illinois at Urbana-Champaign study found: ""Violent video games players were not statistically different from the non-playing control group in their beliefs on aggression after playing the game than they were before playing."" He added: ""Nor was game play a predictor of aggressive behaviors. Compared with the control group, the players neither increased their argumentative behaviors after game play nor were significantly more likely to argue with their friends and partners.",ARG,15,Violentgames,mediated,attack,,,,
10,"TV violence is more harmful than violent video games. The New York Times. June 27, 2011: ""there is much better evidence to support psychological harm from exposure to violence on TV news.""",6,Youth playing violent games exhibit more aggression.,ARG,16,Violentgames,mediated,attack,,,,
10,"TV violence is more harmful than violent video games. The New York Times. June 27, 2011: ""there is much better evidence to support psychological harm from exposure to violence on TV news.""",15,"Justice Breyer: ""Unlike the majority. I would find sufficient grounds in these studies and expert opinions for this court to defer to an elected legislature's conclusion that violent video games are particularly likely to harm children.""",ARG,17,Violentgames,mediated,unrelated,,,,
10,"TV violence is more harmful than violent video games. The New York Times. June 27, 2011: ""there is much better evidence to support psychological harm from exposure to violence on TV news.""",4,Some youth have tried to emulate violence in games.,ARG,18,Violentgames,mediated,unrelated,,,,
