t/_id,t/__text,h/_id,h/__text,_task,_id,_topic,_entailment,h/_iid
2,"Tablets help students learn more material faster than textbooks. Technology-based instruction can reduce the time students take to reach a learning objective by 30-80%, according to the US Department of Education and studies by the National Training and Simulation Association.",1,Tablets should replace textbooks in schools.,ARG,1,Tablet,ENTAILMENT,
3,"Tablets can hold hundreds of textbooks on one device, plus homework, quizzes, and other files, eliminating the need for physical storage of books and classroom materials.",1,Tablets should replace textbooks in schools.,ARG,2,Tablet,ENTAILMENT,
4,"Tablets have too many distractions for classroom use. Students may pay attention to apps, email, games, and websites instead of their teachers.",3,"Tablets can hold hundreds of textbooks on one device, plus homework, quizzes, and other files, eliminating the need for physical storage of books and classroom materials.",ARG,3,Tablet,NONENTAILMENT,
5,Handheld technological devices including tablets are associated with a range of health problems.,1,Tablets should replace textbooks in schools.,ARG,4,Tablet,NONENTAILMENT,
6,"Handhelds contribute to Computer Vision Syndrome, which causes eyestrain, headaches, blurred vision, and dry eyes, according to the American Optometric Association. People who use mobile devices more often have a higher incidence of musculoskeletal disorders associated with repetitive strain on muscles, including carpal tunnel syndrome, neck pain (""text neck""), shoulder pain, and fibromyalgia.",5,Handheld technological devices including tablets are associated with a range of health problems.,ARG,5,Tablet,ENTAILMENT,
7,Using tablets is more expensive than using print textbooks.,1,Tablets should replace textbooks in schools.,ARG,6,Tablet,NONENTAILMENT,
8,"Implementing tablets in K-12 schools requires purchasing hardware (the tablet) and software (the textbooks), building new wi-fi infrastructure, and training teachers and administrators how to use the technology. Implementation costs for e-textbooks on iPad tablets are 552% higher than new print textbooks in an average high school.",7,Using tablets is more expensive than using print textbooks.,ARG,7,Tablet,ENTAILMENT,
9,E-textbooks on tablets cost on average 50-60% less than print textbooks.,7,Using tablets is more expensive than using print textbooks.,ARG,8,Tablet,NONENTAILMENT,
10,"People who read print text comprehend more, remember more, and learn more than those who read digital text.",2,"Tablets help students learn more material faster than textbooks. Technology-based instruction can reduce the time students take to reach a learning objective by 30-80%, according to the US Department of Education and studies by the National Training and Simulation Association.",ARG,9,Tablet,NONENTAILMENT,
11,"The brain interprets printed and digital text in different ways, and people generally read digital text 20-30% slower than print. According to Pulitzer Prize winning technology writer Nicholas Carr, peer-reviewed studies show that reading hyper-linked text may increase the brain's ""cognitive load,"" lowering the ability to process, store, and retain information, or ""translate the new material into conceptual knowledge.",10,"People who read print text comprehend more, remember more, and learn more than those who read digital text.",ARG,10,Tablet,ENTAILMENT,
