t/0/_id,t/0/__text,h/_id,h/__text,_task,_id,_topic,_complex-attack,_argument,_entailment,t/1/_id,t/1/__text
3,"A 2005 University of Illinois at Urbana-Champaign study found: ""Violent video games players were not statistically different from the non-playing control group in their beliefs on aggression after playing the game than they were before playing."" He added: ""Nor was game play a predictor of aggressive behaviors. Compared with the control group, the players neither increased their argumentative behaviors after game play nor were significantly more likely to argue with their friends and partners.",1,Violent games make youth more agressive/violent.,ARG,1,Violentgames,supported,attack,contradiction,,
15,"Justice Breyer: ""Unlike the majority. I would find sufficient grounds in these studies and expert opinions for this court to defer to an elected legislature's conclusion that violent video games are particularly likely to harm children.""",11,"Games help develop youths' minds, skills, confidence. Such games (in moderation) may actually have some positive effects on developing minds.",ARG,2,Violentgames,supported,attack,,,
13,"Research studies have yielded the conclusion that the effect of violent media consumption on aggressive behavior is in the same ballpark statistically as the effect of smoking on lung cancer, the effect of lead exposure on children's intellectual development and the effect of asbestos on laryngeal cancer.",11,"Games help develop youths' minds, skills, confidence. Such games (in moderation) may actually have some positive effects on developing minds.",ARG,3,Violentgames,supported,attack,contradiction,,
9,"Young people know it: as one 13-year-old said during a study I conducted at Harvard, ""With video games, you know it's fake.""",6,Youth playing violent games exhibit more aggression.,ARG,4,Violentgames,supported,attack,,,
17,"A teen can try out different identities — how it feels to be a hero, a trickster, a feared or scorned killer, or someone of a different age or sex — in the safe fantasy world of a video game.",6,Youth playing violent games exhibit more aggression.,ARG,5,Violentgames,supported,attack,,,
6,"India achieved stabilization without population control. There are ways to achieve population-size sustainability without implementing a ""one child"" policy. There are alternative means.",4,"China would have far too many children if not for ""one child"". China estimates that it has three to four hundred million fewer people today with the one child policy than it would have had otherwise.",ARG,6,Chinaonechildpolicy,supported,attack,contradiction,,
17,"Coca chewing is a habit not an addiction. There is no evidence that one becomes chemically addicted to cocaine. Rather, cocaine chewing is a habit among Andeans.",5,"Coca cannot be disassociated with cocaine. The active ingredient in coca leaf is the same as in cocaine. It's just more concentrated in cocaine. Because the raw material of coca and its more potent relative cocaine are so closely aligned, it is impossible to disassociate the two. If one hopes to consider cocaine a narcotic and stop its spread, they must also forbid coca.",ARG,7,Cocanarcotic,supported,attack,contradiction,,
4,Coca is not cocaine. Coca is distinct from cocaine. Coca is a natural leaf with very mild effects when chewed. Cocaine is a highly processed and concentrated drug using derivatives from coca.,2,"In 1992 the World Health Organization's Expert Committee on Drug Dependence (ECDD) undertook a 'prereview' of coca leaf at its 28th meeting. The 28th ECDD report concluded that, ""the coca leaf is appropriately scheduled as a narcotic under the Single Convention on Narcotic Drugs, 1961, since cocaine is readily extractable from the leaf."" This ease of extraction makes coca and cocaine inextricably linked. Therefore, because cocaine is defined as a narcotic, coca must also be defined in this way.",ARG,8,Cocanarcotic,supported,attack,,,
15,"Cocaine is most produced where coca is legal. Wherever coca is legally produced, cocaine production thrives with greater success. The correlation is very clear. In Bolivia, coca eradication efforts in the 1980s and 90s helped reduce cocaine production. As Evo Morales took power and legalized coca production and consumption, however, cocaine production has shot up. This is despite his efforts to fight cocaine production. The bottom line is that legalizing coca makes it easier for cocaine producers to operate. This correlation cannot be ignored.",4,Coca is not cocaine. Coca is distinct from cocaine. Coca is a natural leaf with very mild effects when chewed. Cocaine is a highly processed and concentrated drug using derivatives from coca.,ARG,9,Cocanarcotic,supported,attack,,,
9,Chewing coca offers an energy boost. Coca provides an energy boost for working or for combating fatigue and cold.,1,Coca can be classified as a narcotic.,ARG,10,Cocanarcotic,supported,unrelated,,,
