t/_id,t/__text,h/_id,h/__text,_task,_id,_topic,_BAF,_entailment,_ENTAILMENT,h/_d
2-j3,I never saw a guiltier man in my life. You sat right in court and heard the same thing I did. The man's a dangerous killer.,1-j8,I don't know [if he is guilty].,ARG,1,Act1-TwelveAngryMan,ATTACK,CONTRADICTION,,
3-j8,"He's nineteen years old, [he is too young to be guity].",2-j3,I never saw a guiltier man in my life. You sat right in court and heard the same thing I did. The man's a dangerous killer.,ARG,2,Act1-TwelveAngryMan,ATTACK,CONTRADICTION,,
4-j3,"That's old enough. He knifed his own father, four inches into the chest. An innocent little nineteen-year old kid. They proved it a dozen different ways.",3-j8,"He's nineteen years old, [he is too young to be guity].",ARG,3,Act1-TwelveAngryMan,ATTACK,CONTRADICTION,,
5-j8,It's not so easy for me to raise my hand and send a boy off to die without talking about it first.,1-j8,I don't know [if he il guilty].,ARG,4,Act1-TwelveAngryMan,SUPPORT,,ENTAILMENT,
6-j7,I think the guy is guilty. You couldn't change my mind if you talked for a hundred years.,1-j8,I don't know [if he il guilty].,ARG,5,Act1-TwelveAngryMan,ATTACK,CONTRADICTION,,
7-j8,"This boy has been kicked around all his life. You know, living in a slum, his mother dead since he was nine. That's not a very good head start. He's a tough, angry kid. I think maybe we owe him a few words [before considering him guilty].",6-j7,I think the guy is guilty. You couldn't change my mind if you talked for a hundred years.,ARG,6,Act1-TwelveAngryMan,ATTACK,CONTRADICTION,,
8-j10,"We don't owe him a thing [before considering him guilty]. He got a fair trial. You're not going to tell us that we're supposed to believe him, knowing what he is. I've lived among 'em all my life. You can't believe a word they say.",7-j8,"This boy has been kicked around all his life. You know, living in a slum, his mother dead since he was nine. That's not a very good head start. He's a tough, angry kid. I think maybe we owe him a few words [before considering him guilty].",ARG,7,Act1-TwelveAngryMan,ATTACK,CONTRADICTION,,
9-j9,I don't know that [you can't believe a word they say]. Since when is dishonesty a group characteristic? You have no monopoly on the truth.,8-j10,"We don't owe him a thing [before considering him guilty]. He got a fair trial. You're not going to tell us that we're supposed to believe him, knowing what he is. I've lived among 'em all my life. You can't believe a word they say.",ARG,8,Act1-TwelveAngryMan,ATTACK,CONTRADICTION,,
10-j2,I just think he's guilty. I thought it was obvious. I mean nobody proved otherwise.,1-j8,I don't know [if he il guilty].,ARG,9,Act1-TwelveAngryMan,ATTACK,CONTRADICTION,,
11-j8,Nobody has to prove [that he is not guilty]. The burden of proof is on the prosecution. The defendant doesn't have to open his mouth. That's in the Constitution. The Fifth Amendment.,10-j2,I just think he's guilty. I thought it was obvious. I mean nobody proved otherwise.,ARG,10,Act1-TwelveAngryMan,ATTACK,CONTRADICTION,,
12-j2,I think he was guilty.,11-j8,Nobody has to prove [that he is not guilty]. The burden of proof is on the prosecution. The defendant doesn't have to open his mouth. That's in the Constitution. The Fifth Amendment.,ARG,11,Act1-TwelveAngryMan,ATTACK,UNKNOWN,,
13-j3,"Let's take the old man who lived on the second floor right underneath the room where the murder took place. At ten minutes after twelve on the night of the killing he heard loud noises in the upstairs apartment. He said it sounded like a fight. Then he heard the kid say to his father, ""I'm gonna kill you.!"" A second later he heard a body falling, and he ran to the door of his apartment, looked out, and saw the kid running down the stairs and out of the house. Then he called the police. They found the father with a knife in his chest.",1-j8,I don't know [if he il guilty].,ARG,12,Act1-TwelveAngryMan,ATTACK,CONTRADICTION,,
14-F,"[The man who lived on the second floor right underneath the room where the murder took place at ten minutes after twelve on the night of the killing he heard loud noises in the upstairs apartment. He said it sounded like a fight. Then he heard the kid say to his father, ""I'm gonna kill you.!"" A second later he heard a body falling, and he ran to the door of his apartment, looked out, and saw the kid running down the stairs and out of the house. Then he called the police. They found the father with a knife in his chest].  And the coroner fixed the time of death at around midnight.",13-j3,"Let's take the old man who lived on the second floor right underneath the room where the murder took place. At ten minutes after twelve on the night of the killing he heard loud noises in the upstairs apartment. He said it sounded like a fight. Then he heard the kid say to his father, ""I'm gonna kill you.!"" A second later he heard a body falling, and he ran to the door of his apartment, looked out, and saw the kid running down the stairs and out of the house. Then he called the police. They found the father with a knife in his chest.",ARG,13,Act1-TwelveAngryMan,SUPPORT,,ENTAILMENT,
15-j4,The boy claimed [that while the man who lived on the second floor right underneath the room where the murder took place saw the kid running down the stairs and out of the house] he was at the movies. That's a little ridiculous. He couldn't even remember what pictures he saw.,14-F,[The man who lived on the second floor right underneath the room where the murder took place saw the kid running down the stairs and out of the house]. And the coroner fixed the time of death at around midnight.,ARG,14,Act1-TwelveAngryMan,SUPPORT,,ENTAILMENT,
16-j3,That's right. Did you hear [that the boy couldn't even remember what pictures he saw at the movie]?,15-j4,The boy claimed that he was at the movies. That's a little ridiculous. He couldn't even remember what pictures he saw.,ARG,15,Act1-TwelveAngryMan,SUPPORT,,ENTAILMENT,
17-j10,"[Beside the fact that the boy couldn't even remember what pictures he saw at the movie], what about the woman across the street? If her testimony [to have seen the killing] don't prove [that the boy is guilty], then nothing does.",16-j3,That's right. Did you hear [that the boy couldn't even remember what pictures he saw at the movie]?,ARG,16,Act1-TwelveAngryMan,SUPPORT,,ENTAILMENT,
18-J8,[She saw the killing] through the windows of a passing elevated train [so her testimony is not reliable].,17-j10,"Look, what about the woman across the street? If her testimony [to have seen the killing] don't prove [that the boy is guilty], then nothing does.",ARG,17,Act1-TwelveAngryMan,ATTACK,CONTRADICTION,,
19-J10,They proved in court that you can look through the windows of a passing elevated train at night and see what's happening on the other side. They proved it.,18-J8,[She saw the killing] through the windows of a passing elevated train [so her testimony is not reliable].,ARG,18,Act1-TwelveAngryMan,ATTACK,CONTRADICTION,,
20-J6,"I started to be convinced [about the fact that the guy is guilty], with the testimony from those people across the hall. Didn't they say something about an argument between the father and the boy around seven o'clock that night?",1-j8,I don't know [if he il guilty].,ARG,19,Act1-TwelveAngryMan,ATTACK,CONTRADICTION,,
21-j8,Eight o'clock. They heard the father hit the boy twice and then saw the boy walk angrily out of the house. [It does not prove that the boy killed him].,20-J6,"I started to be convinced [about the fact that the guy is guilty], with the testimony from those people across the hall. Didn't they say something about an argument between the father and the boy around seven o'clock that night?",ARG,20,Act1-TwelveAngryMan,ATTACK,CONTRADICTION,,
22-j7,Look at the kid's record. At fifteen he was in reform school. He stole a car. He's been arrested for mugging. He was picked up for knife-fighting. I think they said he stabbed somebody in the arm. This is a very fine boy.,1-j8,I don't know [if he il guilty].,ARG,21,Act1-TwelveAngryMan,ATTACK,UNKNOWN,,
23-j8,Ever since he was five years old his father beat him up regularly. He used his fists.,22-j7,Look at the kid's record. At fifteen he was in reform school. He stole a car. He's been arrested for mugging. He was picked up for knife-fighting. I think they said he stabbed somebody in the arm. This is a very fine boy.,ARG,22,Act1-TwelveAngryMan,ATTACK,UNKNOWN,,
24-j7,[If I had a kid like that] I would [have beated him]!,23-j8,Ever since he was five years old his father beat him up regularly. He used his fists.,ARG,23,Act1-TwelveAngryMan,ATTACK,UNKNOWN,,
25-j3,"It's the kids. They don't listen. I've got a kid. When he was eight years old, he ran away from a fight. I saw him. I was so ashamed, I told him right out, ""I'm gonna make a man out of you or I'm gonna bust you up into little pieces trying."" When he was fifteen he hit me in the face. He's big, you know. I haven't seen him in three years.",24-j7,[If I had a kid like that] I would [have beated him]!,ARG,24,Act1-TwelveAngryMan,SUPPORT,,ENTAILMENT,
26-j8,"I had a peculiar feeling about this trial. Somehow I felt that the defense counsel never really conducted a thorough cross-examination. I mean, he was appointed by the court to defend the boy. He hardly seemed interested. Too many questions were left unasked.",1-j8,I don't know [if he il guilty].,ARG,25,Act1-TwelveAngryMan,SUPPORT,,ENTAILMENT,
27-j3,"Let's talk about that cute little switchknife. You know, the one that fine, upright kid admitted buying.",26-j8,"I had a peculiar feeling about this trial. Somehow I felt that the defense counsel never really conducted a thorough cross-examination. I mean, he was appointed by the court to defend the boy. He hardly seemed interested. Too many questions were left unasked.",ARG,26,Act1-TwelveAngryMan,ATTACK,UNKNOWN,,
28-j4,"The boy claims that on the way home the switchknife [that he admitted buying] must have fallen through a hole in his coat pocket, that he never saw it again. You know what actually happened. The boy took the knife home and a few hours later stabbed his father with it and even remembered to wipe off the fingerprints.",27-j3,"Let's talk about that cute little switchknife. You know, the one that fine, upright kid admitted buying.",ARG,27,Act1-TwelveAngryMan,SUPPORT,,ENTAILMENT,
29-j8,It's possible that the boy lost the knife and that someone else stabbed his father with a similar knife. It's possible.,28-j4,"The boy claims that on the way home the switchknife [that he admitted buying] must have fallen through a hole in his coat pocket, that he never saw it again. You know what actually happened. The boy took the knife home and a few hours later stabbed his father with it and even remembered to wipe off the fingerprints.",ARG,28,Act1-TwelveAngryMan,ATTACK,CONTRADICTION,,
30-j4,Take a look at that knife. It's a very strange knife. I've never seen one like it before in my life and neither had the storekeeper who sold it to him.,29-j8,It's possible that the boy lost the knife and that someone else stabbed his father with a similar knife. It's possible.,ARG,29,Act1-TwelveAngryMan,ATTACK,UNKNOWN,,
31-j8,I'm not trying to make anyone accept [the hypothesis that the boy lost the knife and that someone else stabbed his father with a similar knife]. I'm just saying it's possible.,30-j4,Take a look at that knife. It's a very strange knife. I've never seen one like it before in my life and neither had the storekeeper who sold it to him.,ARG,30,Act1-TwelveAngryMan,ATTACK,UNKNOWN,,
32-j3,And I'm saying it's not possible [that the boy lost the knife and that someone else stabbed his father with a similar knife].,31-j8,I'm not trying to make anyone accept [the hypothesis that the boy lost the knife and that someone else stabbed his father with a similar knife]. I'm just saying it's possible.,ARG,31,Act1-TwelveAngryMan,ATTACK,CONTRADICTION,,
33-j8,Maybe there are [ten knives like the one used by the boy].,32-j3,And I'm saying it's not possible [that the boy lost the knife and that someone else stabbed his father with a similar knife].,ARG,32,Act1-TwelveAngryMan,ATTACK,UNKNOWN,,
