file_id,pair_id,topic,task,premise_id,premise_text,hypothesis_id,hypothesis_text,argument_type,original_entailment,original_argument,complex_attack_type,source_file,unique_id,content_length
1,97,Internetaccess,ARG,12,"The right to speak springs from the innate sense of owning one's self rather than being a property of the state, which means that each individual has the right to their own thoughts and to express them. That right doesn't extend to publication, however, which is where Toure’s argument runs off the rails. If one wants to get published, then either one has to own the means to publication or pay someone else for the service. After all, no one has the right to confiscate someone else's printing press in order to get published.",2,"Internet access is essential now; must be a right. The internet is only that wire that delivers freedom of speech, freedom of assembly, and freedom of the press in a single connection.",attack,NO,,,data\1.csv,1_97,712
1,99,Groundzeromosque,ARG,2,"Cordoba House is no act of tolerance, but of excess/arrogance. Building this structure on the edge of the battlefield created by radical Islamists is not a celebration of religious pluralism and mutual tolerance; it is a political statement of shocking arrogance and hypocrisy.",1,"The intentions of Cordoba House (also referred to as the ""Ground Zero Mosque"") developers are pure.",attack,NO,,,data\1.csv,1_99,376
1,100,Groundzeromosque,ARG,2,"Cordoba House is a place of tolerance and integration. Cordoba House is not being built by al-Qaeda. To the contrary, it is the brainchild of Imam Feisal Abdul Rauf, a well-meaning American cleric who has spent years trying to promote interfaith understanding, not an apostle of religious war like Osama bin Laden. The Ground Zero site was selected in part precisely so that it might heal some of the wounds opened by the felling of the twin towers and all that followed.",3,"Cordoba House is no act of tolerance, but of excess/arrogance. Building this structure on the edge of the battlefield created by radical Islamists is not a celebration of religious pluralism and mutual tolerance; it is a political statement of shocking arrogance and hypocrisy.",attack,NO,,,data\1.csv,1_100,748
1,101,Groundzeromosque,ARG,4,"Victims' families view the imam's expressed plan to ""leverage"" the mosque's proximity to Ground Zero to engage in proselytizing and to ""grow the Muslim community"", as shockingly insensitive to the history of the site where their loved ones were slaughtered in the worst terrorist attack by extremist Muslims in America's history.",1,"The intentions of Cordoba House (also referred to as the ""Ground Zero Mosque"") developers are pure.",attack,NO,,,data\1.csv,1_101,428
1,104,Groundzeromosque,ARG,7,"Name ""Cordoba House"" is a very direct historical indication that the Ground Zero mosque is all about conquest and thus an assertion of Islamist triumphalism which we should not tolerate.",1,"The intentions of Cordoba House (also referred to as the ""Ground Zero Mosque"") developers are pure.",attack,NO,,,data\1.csv,1_104,285
1,106,Groundzeromosque,ARG,9,"Name ""Cordoba House"" is about past period of tolerance. Imam Feisal says he chose ""Cordoba"" in recollection of a time when the rest of Europe had sunk into the Dark Ages but Muslims, Jews and Christians created an oasis of art, culture and science. Mr Gingrich sees only a ""deliberate insult"", a reminder of a period when Muslim conquerors ruled Spain. Like Mr bin Laden, Mr Gingrich is apparently still relitigating the victories and defeats of religious wars fought in Europe and the Middle East centuries ago.",7,"Name ""Cordoba House"" is a very direct historical indication that the Ground Zero mosque is all about conquest and thus an assertion of Islamist triumphalism.",attack,NO,,,data\1.csv,1_106,669
1,107,Militaryservice,ARG,2,Service helps connect and check military with civilians. A necessary means to ensure the defence forces maintain a close relationship to civil society in order to prevent a repeat of the way in which the Nazi party was able to manipulate professional soldiers in the 1930s.,1,National conscription is important to national security.,support,YES,,,data\1.csv,1_107,329
1,108,Militaryservice,ARG,3,Conscripts are never as good as professional soldiers.,1,National conscription is important to national security.,attack,NO,,,data\1.csv,1_108,110
1,109,Militaryservice,ARG,4,"Conscripts will not last as long nor be as combat reliable in the battlefield as compared to a real soldier who is trained to do both. These 'conscripts' (candidates) are only given the basic training of how to wield a gun and aim, but that short-lived training will never prepare them to readily pull the trigger to end someone's life, therefore lowering their combat-efficiency because of the uncertainties they pose as soldiers.",3,Conscripts are never as good as professional soldiers.,support,YES,,,data\1.csv,1_109,485
1,110,Militaryservice,ARG,5,"Compulsory service brings in unqualified and unfit. There are too many unqualified people and, in addition, quite a lot of them suffer from psychological problems.",3,Conscripts are never as good as professional soldiers.,support,YES,,,data\1.csv,1_110,217
