doc_id,content,doc_type,topic,argument_type,metadata,full_context
1_97_premise,"The right to speak springs from the innate sense of owning one's self rather than being a property of the state, which means that each individual has the right to their own thoughts and to express them. That right doesn't extend to publication, however, which is where Toure’s argument runs off the rails. If one wants to get published, then either one has to own the means to publication or pay someone else for the service. After all, no one has the right to confiscate someone else's printing press in order to get published.",premise,Internetaccess,attack,TOPIC: Internetaccess | ARGUMENT_TYPE: attack,"TOPIC: Internetaccess | ARGUMENT_TYPE: attack | PREMISE: The right to speak springs from the innate sense of owning one's self rather than being a property of the state, which means that each individual has the right to their own thoughts and to express them. That right doesn't extend to publication, however, which is where Toure’s argument runs off the rails. If one wants to get published, then either one has to own the means to publication or pay someone else for the service. After all, no one has the right to confiscate someone else's printing press in order to get published."
1_97_hypothesis,"Internet access is essential now; must be a right. The internet is only that wire that delivers freedom of speech, freedom of assembly, and freedom of the press in a single connection.",hypothesis,Internetaccess,attack,TOPIC: Internetaccess | ARGUMENT_TYPE: attack,"TOPIC: Internetaccess | ARGUMENT_TYPE: attack | HYPOTHESIS: Internet access is essential now; must be a right. The internet is only that wire that delivers freedom of speech, freedom of assembly, and freedom of the press in a single connection."
1_99_premise,"Cordoba House is no act of tolerance, but of excess/arrogance. Building this structure on the edge of the battlefield created by radical Islamists is not a celebration of religious pluralism and mutual tolerance; it is a political statement of shocking arrogance and hypocrisy.",premise,Groundzeromosque,attack,TOPIC: Groundzeromosque | ARGUMENT_TYPE: attack,"TOPIC: Groundzeromosque | ARGUMENT_TYPE: attack | PREMISE: Cordoba House is no act of tolerance, but of excess/arrogance. Building this structure on the edge of the battlefield created by radical Islamists is not a celebration of religious pluralism and mutual tolerance; it is a political statement of shocking arrogance and hypocrisy."
1_99_hypothesis,"The intentions of Cordoba House (also referred to as the ""Ground Zero Mosque"") developers are pure.",hypothesis,Groundzeromosque,attack,TOPIC: Groundzeromosque | ARGUMENT_TYPE: attack,"TOPIC: Groundzeromosque | ARGUMENT_TYPE: attack | HYPOTHESIS: The intentions of Cordoba House (also referred to as the ""Ground Zero Mosque"") developers are pure."
1_100_premise,"Cordoba House is a place of tolerance and integration. Cordoba House is not being built by al-Qaeda. To the contrary, it is the brainchild of Imam Feisal Abdul Rauf, a well-meaning American cleric who has spent years trying to promote interfaith understanding, not an apostle of religious war like Osama bin Laden. The Ground Zero site was selected in part precisely so that it might heal some of the wounds opened by the felling of the twin towers and all that followed.",premise,Groundzeromosque,attack,TOPIC: Groundzeromosque | ARGUMENT_TYPE: attack,"TOPIC: Groundzeromosque | ARGUMENT_TYPE: attack | PREMISE: Cordoba House is a place of tolerance and integration. Cordoba House is not being built by al-Qaeda. To the contrary, it is the brainchild of Imam Feisal Abdul Rauf, a well-meaning American cleric who has spent years trying to promote interfaith understanding, not an apostle of religious war like Osama bin Laden. The Ground Zero site was selected in part precisely so that it might heal some of the wounds opened by the felling of the twin towers and all that followed."
1_100_hypothesis,"Cordoba House is no act of tolerance, but of excess/arrogance. Building this structure on the edge of the battlefield created by radical Islamists is not a celebration of religious pluralism and mutual tolerance; it is a political statement of shocking arrogance and hypocrisy.",hypothesis,Groundzeromosque,attack,TOPIC: Groundzeromosque | ARGUMENT_TYPE: attack,"TOPIC: Groundzeromosque | ARGUMENT_TYPE: attack | HYPOTHESIS: Cordoba House is no act of tolerance, but of excess/arrogance. Building this structure on the edge of the battlefield created by radical Islamists is not a celebration of religious pluralism and mutual tolerance; it is a political statement of shocking arrogance and hypocrisy."
1_101_premise,"Victims' families view the imam's expressed plan to ""leverage"" the mosque's proximity to Ground Zero to engage in proselytizing and to ""grow the Muslim community"", as shockingly insensitive to the history of the site where their loved ones were slaughtered in the worst terrorist attack by extremist Muslims in America's history.",premise,Groundzeromosque,attack,TOPIC: Groundzeromosque | ARGUMENT_TYPE: attack,"TOPIC: Groundzeromosque | ARGUMENT_TYPE: attack | PREMISE: Victims' families view the imam's expressed plan to ""leverage"" the mosque's proximity to Ground Zero to engage in proselytizing and to ""grow the Muslim community"", as shockingly insensitive to the history of the site where their loved ones were slaughtered in the worst terrorist attack by extremist Muslims in America's history."
1_101_hypothesis,"The intentions of Cordoba House (also referred to as the ""Ground Zero Mosque"") developers are pure.",hypothesis,Groundzeromosque,attack,TOPIC: Groundzeromosque | ARGUMENT_TYPE: attack,"TOPIC: Groundzeromosque | ARGUMENT_TYPE: attack | HYPOTHESIS: The intentions of Cordoba House (also referred to as the ""Ground Zero Mosque"") developers are pure."
1_104_premise,"Name ""Cordoba House"" is a very direct historical indication that the Ground Zero mosque is all about conquest and thus an assertion of Islamist triumphalism which we should not tolerate.",premise,Groundzeromosque,attack,TOPIC: Groundzeromosque | ARGUMENT_TYPE: attack,"TOPIC: Groundzeromosque | ARGUMENT_TYPE: attack | PREMISE: Name ""Cordoba House"" is a very direct historical indication that the Ground Zero mosque is all about conquest and thus an assertion of Islamist triumphalism which we should not tolerate."
1_104_hypothesis,"The intentions of Cordoba House (also referred to as the ""Ground Zero Mosque"") developers are pure.",hypothesis,Groundzeromosque,attack,TOPIC: Groundzeromosque | ARGUMENT_TYPE: attack,"TOPIC: Groundzeromosque | ARGUMENT_TYPE: attack | HYPOTHESIS: The intentions of Cordoba House (also referred to as the ""Ground Zero Mosque"") developers are pure."
1_106_premise,"Name ""Cordoba House"" is about past period of tolerance. Imam Feisal says he chose ""Cordoba"" in recollection of a time when the rest of Europe had sunk into the Dark Ages but Muslims, Jews and Christians created an oasis of art, culture and science. Mr Gingrich sees only a ""deliberate insult"", a reminder of a period when Muslim conquerors ruled Spain. Like Mr bin Laden, Mr Gingrich is apparently still relitigating the victories and defeats of religious wars fought in Europe and the Middle East centuries ago.",premise,Groundzeromosque,attack,TOPIC: Groundzeromosque | ARGUMENT_TYPE: attack,"TOPIC: Groundzeromosque | ARGUMENT_TYPE: attack | PREMISE: Name ""Cordoba House"" is about past period of tolerance. Imam Feisal says he chose ""Cordoba"" in recollection of a time when the rest of Europe had sunk into the Dark Ages but Muslims, Jews and Christians created an oasis of art, culture and science. Mr Gingrich sees only a ""deliberate insult"", a reminder of a period when Muslim conquerors ruled Spain. Like Mr bin Laden, Mr Gingrich is apparently still relitigating the victories and defeats of religious wars fought in Europe and the Middle East centuries ago."
